"Sample_Name","Sample_ID","INC","SpC","pH","Temp","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Methods_Deviation","Fe_mg_per_kg","Fe_mg_per_L","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g","Initial_Gravimetric_Moisture","Final_Gravimetric_Moisture","Incubation_Water_Mass_g","ATP_nanomol_per_L","ATP_picomol_per_g","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa","Lost_Gravimetric_Water"
"EC_005_INC-D1","EC_005","INC-D1",115.4,6.96,21,0,0,"RATE_CV_050",0.646,0.201,4.31,2.4,15.77,0.27,0.15,50.74,7.6,20.8,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.12
"EC_005_INC-D2","EC_005","INC-D2",113.1,6.89,20,0,0,"RATE_CV_050",0.653,0.202,4.29,1.92,15.71,0.27,0.12,50.76,5.76,16.82,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.15
"EC_005_INC-D3","EC_005","INC-D3",114,6.77,20.9,0,0,"RATE_CV_050",0.65,0.201,4.3,2.28,15.73,0.27,0.14,50.76,6.54,17.44,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.13
"EC_005_INC-D4","EC_005","INC-D4",116.4,6.67,21,0.066,0.214,"RATE_CV_050; RATE_OUTLIER_000",0.655,0.202,4.28,1.84,15.65,0.27,0.12,50.79,2.97,10.89,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.15
"EC_005_INC-D5","EC_005","INC-D5",115.5,6.68,20.4,0.089,0.288,"RATE_CV_050; RATE_OUTLIER_000",0.69,0.213,4.29,1.97,15.68,0.27,0.13,50.77,2.84,9.94,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0.14
"EC_005_INC-W1","EC_005","INC-W1",129,7.16,20.1,0.076,0.245,"N/A",0.894,0.277,8.34,8.34,15.74,0.53,0.53,50.75,4.06,11.61,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0
"EC_005_INC-W2","EC_005","INC-W2",115.4,6.92,20.7,0.346,1.117,"N/A",0.753,0.233,8.3,8.3,15.74,0.53,0.53,50.75,6.26,17.41,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0
"EC_005_INC-W3","EC_005","INC-W3",111.7,6.9,20.8,0.376,1.21,"N/A",0.703,0.218,8.32,8.32,15.79,0.53,0.53,50.73,4.3,12.92,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0
"EC_005_INC-W4","EC_005","INC-W4",113.5,6.86,21,0.36,1.16,"N/A",0.767,0.238,8.31,8.31,15.77,0.53,0.53,50.74,6.03,15.84,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0
"EC_005_INC-W5","EC_005","INC-W5",116.1,6.72,21.1,0.243,0.786,"N/A",0.601,0.186,8.29,8.29,15.71,0.53,0.53,50.76,4.22,14.44,6,56.2,33.4,95.6,0.4,4,8.18733333333333,0
