"Sample_Name","Sample_ID","INC","SpC","pH","Temp","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Methods_Deviation","Fe_mg_per_kg","Fe_mg_per_L","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g","Initial_Gravimetric_Moisture","Final_Gravimetric_Moisture","Incubation_Water_Mass_g","ATP_nanomol_per_L","ATP_picomol_per_g","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","mean_ssa","Lost_Gravimetric_Water"
"EC_009_INC-D1","EC_009","INC-D1",64.64,5.7,20.1,0.602,2.097,"RATE_CV_050",0.502,0.144,5.35,3.36,14.72,0.36,0.23,51.25,33,98.48,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.13
"EC_009_INC-D2","EC_009","INC-D2",65.08,5.67,20.2,9.89,34.434,"RATE_CV_050; RATE_OUTLIER_000",0.513,0.147,5.35,3.38,14.74,0.36,0.23,51.25,31.45,98.58,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.13
"EC_009_INC-D3","EC_009","INC-D3",69.74,5.76,19.8,0.239,0.835,"RATE_CV_050",0.605,0.173,5.34,3.35,14.69,0.36,0.23,51.26,24.15,71.82,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.13
"EC_009_INC-D4","EC_009","INC-D4",68.47,5.78,19.8,0.483,1.693,"RATE_CV_050",0.568,0.162,5.32,3.37,14.65,0.36,0.23,51.29,34.4,127.97,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.13
"EC_009_INC-D5","EC_009","INC-D5",63.19,6.36,19.9,2.473,8.67,"RATE_CV_050; RATE_OUTLIER_000",0.625,0.178,5.32,3.38,14.65,0.36,0.23,51.29,32.24,93.43,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0.13
"EC_009_INC-W1","EC_009","INC-W1",75.2,6.9,19.8,3.002,10.539,"N/A",0.628,0.179,8.28,8.28,14.63,0.57,0.57,51.29,45.7,141.81,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0
"EC_009_INC-W2","EC_009","INC-W2",63.64,6.03,19.8,3.905,13.657,"N/A",0.593,0.17,8.31,8.31,14.67,0.57,0.57,51.27,16.59,56.4,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0
"EC_009_INC-W3","EC_009","INC-W3",62.81,5.75,20.2,4.162,14.591,"N/A",0.48,0.137,8.3,8.3,14.65,0.57,0.57,51.29,44.21,191.37,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0
"EC_009_INC-W4","EC_009","INC-W4",63.2,5.71,20,2.971,10.367,"N/A",0.528,0.151,8.34,8.34,14.71,0.57,0.57,51.26,15.91,58.41,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0
"EC_009_INC-W5","EC_009","INC-W5",63.33,5.68,20.1,2.608,9.094,"N/A",0.58,0.166,8.34,8.34,14.71,0.57,0.57,51.26,20.69,66.29,31.4,36.4,13.3,81.1,1.4,17.5,18.0746666666667,0
"EC_011_INC-D1","EC_011","INC-D1",258.7,6.71,21.5,119.42,475.308,"RATE_005",0.646,0.162,7.09,3.38,13.12,0.54,0.26,52.1,54.48,424.68,21.6,29,25.7,76.3,0,23.7,6.9868,0.28
"EC_011_INC-D2","EC_011","INC-D2",260.7,6.7,21.5,214.02,854.768,"RATE_005",0.565,0.141,7.06,2.5,13.08,0.54,0.19,52.12,46.2,259.56,21.6,29,25.7,76.3,0,23.7,6.9868,0.35
"EC_011_INC-D3","EC_011","INC-D3",270.2,6.65,21.5,219.742,874.603,"RATE_005",0.418,0.105,7.09,3.66,13.12,0.54,0.28,52.1,44.84,207.48,21.6,29,25.7,76.3,0,23.7,6.9868,0.26
"EC_011_INC-D4","EC_011","INC-D4",264.9,6.75,21.5,217.954,867.487,"RATE_005",0.838,0.21,7.09,2.16,13.12,0.54,0.16,52.1,51.04,260.75,21.6,29,25.7,76.3,0,23.7,6.9868,0.38
"EC_011_INC-D5","EC_011","INC-D5",260.4,6.73,21.7,191.632,764.767,"RATE_005",0.682,0.171,7.07,3.07,13.09,0.54,0.23,52.12,47.48,251.62,21.6,29,25.7,76.3,0,23.7,6.9868,0.31
"EC_012_INC-D1","EC_012","INC-D1",289.6,6.71,21.7,115.406,538.425,"RATE_005; RATE_CV_050",3.467,0.743,8.97,5.04,11.3,0.79,0.45,52.72,49.66,142.8,27.1,24.4,37.3,88.8,0,11.2,10.584,0.34
"EC_012_INC-D2","EC_012","INC-D2",267.9,6.88,21.7,140.551,660.79,"RATE_005; RATE_CV_050",2.622,0.558,8.91,4.63,11.22,0.79,0.41,52.75,63.02,223.88,27.1,24.4,37.3,88.8,0,11.2,10.584,0.38
"EC_012_INC-D3","EC_012","INC-D3",280.2,6.74,21.6,122,568.578,"RATE_005; RATE_CV_050",3.058,0.656,8.97,4.83,11.31,0.79,0.43,52.71,53.59,281.02,27.1,24.4,37.3,88.8,0,11.2,10.584,0.36
"EC_012_INC-D4","EC_012","INC-D4",283.6,6.79,21,156.149,729.156,"RATE_005; RATE_CV_050",1.904,0.408,8.96,4.46,11.29,0.79,0.39,52.72,15.12,52.43,27.1,24.4,37.3,88.8,0,11.2,10.584,0.4
"EC_013_INC-D1","EC_013","INC-D1",426.8,7.33,21.9,3.792,20.345,"RATE_CV_050",0.701,0.131,10.07,8.61,9.9,1.02,0.87,53.17,5.83,20.23,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0.15
"EC_013_INC-D2","EC_013","INC-D2",427.7,7.2,22,1.985,10.627,"RATE_CV_050",1.156,0.216,10.09,8.8,9.92,1.02,0.89,53.16,8.04,22.09,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0.13
"EC_013_INC-D3","EC_013","INC-D3",437.4,7.16,21.7,1.612,8.649,"RATE_CV_050",1.268,0.236,10.07,8.67,9.91,1.02,0.88,53.17,1.77,5.47,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0.14
"EC_013_INC-D5","EC_013","INC-D5",433.7,7.3,21.4,5.181,27.77,"RATE_CV_050; RATE_OUTLIER_000",1.377,0.257,10.08,8.8,9.92,1.02,0.89,53.17,6.25,13.9,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0.13
"EC_013_INC-W1","EC_013","INC-W1",438.9,7.32,21.4,16.143,86.612,"N/A",1.236,0.23,13.07,13.07,9.91,1.32,1.32,53.17,5.66,14.88,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0
"EC_013_INC-W2","EC_013","INC-W2",446.2,6.99,21.5,18.505,98.848,"N/A",1.389,0.26,13.07,13.07,9.94,1.31,1.31,53.15,13.81,48.78,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0
"EC_013_INC-W3","EC_013","INC-W3",439.6,7.64,21.2,8.232,44.025,"N/A",1.266,0.237,13.04,13.04,9.93,1.31,1.31,53.16,7.05,19.55,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0
"EC_013_INC-W4","EC_013","INC-W4",435.8,7.09,21.3,13.174,70.527,"N/A",1.224,0.229,13.01,13,9.92,1.31,1.31,53.16,14.7,39.17,5.5,4.1,82,91.6,1.2,7.2,5.57266666666667,0
"EC_014_INC-D1","EC_014","INC-D1",129.2,6.84,21,0.285,1.189,"N/A",0.942,0.226,7.63,6.4,12.44,0.61,0.51,51.97,16.93,49.82,6.7,41.8,43.5,92,2.7,5.3,5.241,0.1
"EC_014_INC-D2","EC_014","INC-D2",125.3,7,21.1,0.432,1.805,"N/A",1.014,0.243,7.62,6.56,12.42,0.61,0.53,51.98,20.73,59.84,6.7,41.8,43.5,92,2.7,5.3,5.241,0.08
"EC_014_INC-D3","EC_014","INC-D3",133.2,6.71,20.9,0.272,1.137,"N/A",0.724,0.173,7.61,6.1,12.42,0.61,0.49,51.98,31.78,106.89,6.7,41.8,43.5,92,2.7,5.3,5.241,0.12
"EC_014_INC-D4","EC_014","INC-D4",127.8,6.5,21.1,0.335,1.401,"N/A",0.827,0.198,7.61,6.37,12.42,0.61,0.51,51.98,9.05,33.49,6.7,41.8,43.5,92,2.7,5.3,5.241,0.1
"EC_014_INC-D5","EC_014","INC-D5",126.1,6.49,21.1,0.305,1.278,"N/A",0.92,0.22,7.6,6.1,12.4,0.61,0.49,51.99,30.38,93.51,6.7,41.8,43.5,92,2.7,5.3,5.241,0.12
"EC_014_INC-W1","EC_014","INC-W1",103.1,6.26,21.2,0.358,1.497,"RATE_CV_050",0.7,0.167,10.57,10.57,12.42,0.85,0.85,51.98,4.12,15.26,6.7,41.8,43.5,92,2.7,5.3,5.241,0
"EC_014_INC-W2","EC_014","INC-W2",105.1,6.7,20.09,0.446,1.872,"RATE_CV_050",0.761,0.181,10.57,10.56,12.38,0.85,0.85,52,4.71,15.2,6.7,41.8,43.5,92,2.7,5.3,5.241,0
"EC_014_INC-W3","EC_014","INC-W3",104.6,7.07,21.1,136.324,570.541,"RATE_005; RATE_CV_050",0.417,0.1,10.61,11.57,12.4,0.86,0.93,51.98,4.4,15.45,6.7,41.8,43.5,92,2.7,5.3,5.241,-0.0700000000000001
"EC_014_INC-W4","EC_014","INC-W4",103,6.89,21,137.274,571.993,"RATE_005; RATE_CV_050; RATE_OUTLIER_000",0.57,0.137,10.62,10.62,12.45,0.85,0.85,51.96,11.19,31.7,6.7,41.8,43.5,92,2.7,5.3,5.241,0
"EC_017_INC-D1","EC_017","INC-D1",280.7,6.41,20.7,0.429,1.362,"RATE_CV_050",0.217,0.068,4.02,1.67,15.89,0.25,0.11,50.41,6.66,25.84,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0.14
"EC_017_INC-D2","EC_017","INC-D2",280.8,5.87,20.8,0,0,"RATE_CV_050; RATE_OUTLIER_000",0.161,0.051,4.03,1.73,15.93,0.25,0.11,50.39,7.66,24.07,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0.14
"EC_017_INC-D3","EC_017","INC-D3",276.3,6.19,20.8,0.337,1.062,"RATE_CV_050",0.00315009380863039,0.001,4.05,1.86,15.99,0.25,0.12,50.37,7.69,21,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0.13
"EC_017_INC-D4","EC_017","INC-D4",279.6,6.29,20.8,0.108,0.343,"RATE_CV_050",0.0031724354940214,0.001,4.03,1.84,15.89,0.25,0.12,50.41,7.82,21.53,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0.13
"EC_017_INC-D5","EC_017","INC-D5",279.6,6.11,20.6,5.228,16.408,"RATE_CV_050; RATE_OUTLIER_000",0.269,0.086,4.06,1.88,16.05,0.25,0.12,50.34,6.33,22.19,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0.13
"EC_017_INC-W1","EC_017","INC-W1",291.9,8.66,20.8,1.347,4.272,"N/A",0.375,0.118,8.49,8.49,15.9,0.53,0.53,50.4,7.27,24.05,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0
"EC_017_INC-W2","EC_017","INC-W2",280.5,6.93,20.8,0.801,2.534,"N/A",0.361,0.114,8.52,8.52,15.94,0.53,0.53,50.39,8.29,28.13,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0
"EC_017_INC-W3","EC_017","INC-W3",280.7,6.6,20.6,0.756,2.378,"N/A",0.362,0.115,8.55,8.55,16.02,0.53,0.53,50.35,7.82,25.42,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0
"EC_017_INC-W4","EC_017","INC-W4",279.6,6.46,20.7,0.569,1.805,"N/A",0.301,0.095,8.53,8.53,15.9,0.54,0.54,50.4,9.85,26.46,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0
"EC_017_INC-W5","EC_017","INC-W5",279.2,6.41,20.7,0.693,2.195,"N/A",0.369,0.116,8.58,8.58,15.92,0.54,0.54,50.39,8.51,27.25,5.9,18.8,70.2,94.9,3.8,1.3,14.8885,0
"EC_018_INC-D1","EC_018","INC-D1",538.3,6.64,21,0.099,0.382,"RATE_CV_050; RATE_OUTLIER_000",0.00386452095808383,0.001,6.64,5.57,13.36,0.5,0.42,51.63,0.95,2.48,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0.08
"EC_018_INC-D2","EC_018","INC-D2",534.1,6.59,20.09,0,0,"RATE_CV_050",0.14,0.036,6.64,5.64,13.37,0.5,0.42,51.63,1.83,4.24,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0.08
"EC_018_INC-D3","EC_018","INC-D3",535.7,6.64,21.2,0,0,"RATE_CV_050",0.00387106446776612,0.001,6.63,5.6,13.34,0.5,0.42,51.64,1.1,2.7,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0.08
"EC_018_INC-D4","EC_018","INC-D4",541.9,6.79,21.1,0,0,"RATE_CV_050",0.00386526946107784,0.001,6.63,5.68,13.36,0.5,0.43,51.64,1.86,3.71,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0.07
"EC_018_INC-D5","EC_018","INC-D5",571.6,6.45,21,0,0,"RATE_CV_050",0.148,0.038,6.64,5.53,13.38,0.5,0.41,51.63,1.47,3,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0.09
"EC_018_INC-W1","EC_018","INC-W1",525.8,6.2,21.6,0.271,1.048,"RATE_CV_050",0.141,0.037,9.61,9.61,13.34,0.72,0.72,51.65,1.06,2.13,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0
"EC_018_INC-W2","EC_018","INC-W2",536.8,6.2,21.1,0.463,1.793,"RATE_CV_050",0.132,0.034,9.61,9.6,13.33,0.72,0.72,51.65,2.37,4.41,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0
"EC_018_INC-W3","EC_018","INC-W3",533.1,6.51,20.4,132.996,514.065,"RATE_CV_050; RATE_OUTLIER_000",0.141,0.036,9.67,9.67,13.35,0.72,0.72,51.64,1.12,2.4,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0
"EC_018_INC-W4","EC_018","INC-W4",527.5,6.4,20.9,0.466,1.797,"RATE_CV_050",0.134,0.035,9.54,9.54,13.38,0.71,0.71,51.63,0.63,1.69,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0
"EC_018_INC-W5","EC_018","INC-W5",527.2,6.69,21.02,0.201,0.776,"RATE_CV_050",0.00386526946107784,0.001,9.63,9.59,13.36,0.72,0.72,51.64,0.85,2.15,2.7,4.5,91.6,98.8,1.2,0,2.19533333333333,0
"EC_021_INC-D1","EC_021","INC-D1",1186,7.37,20.8,0,0,"RATE_CV_050",0.124,0.039,4.1,2.34,15.99,0.26,0.15,50.36,3.52,11.3,9,37.1,50,96.1,3.9,0,5.958,0.11
"EC_021_INC-D2","EC_021","INC-D2",1183,7.49,20.7,0,0,"RATE_CV_050",0.132,0.042,4.1,2.19,15.97,0.26,0.14,50.36,2.84,8.86,9,37.1,50,96.1,3.9,0,5.958,0.12
"EC_021_INC-D3","EC_021","INC-D3",1185,7.42,20.8,0,0,"RATE_CV_050",0.147,0.046,4.08,2.43,15.89,0.26,0.15,50.4,2.67,8.6,9,37.1,50,96.1,3.9,0,5.958,0.11
"EC_021_INC-D4","EC_021","INC-D4",1161,7.51,21,0.331,1.072,"RATE_CV_050; RATE_OUTLIER_000",0.113,0.035,4.02,2.1,15.64,0.26,0.13,50.5,1.85,5.96,9,37.1,50,96.1,3.9,0,5.958,0.13
"EC_021_INC-D5","EC_021","INC-D5",1185,7.46,21,0.519,1.651,"RATE_CV_050; RATE_OUTLIER_000",0.125,0.039,4.08,2.07,15.88,0.26,0.13,50.4,1.4,4.87,9,37.1,50,96.1,3.9,0,5.958,0.13
"EC_021_INC-W1","EC_021","INC-W1",1190,8,20.6,0.168,0.532,"RATE_CV_050",0.00315799373040752,0.001,12.61,12.61,15.95,0.79,0.79,50.37,3.74,11.62,9,37.1,50,96.1,3.9,0,5.958,0
"EC_021_INC-W2","EC_021","INC-W2",1157,7.62,20.9,0.15,0.476,"RATE_CV_050",0.058,0.018,9.11,9.11,15.93,0.57,0.57,50.38,3.43,10.27,9,37.1,50,96.1,3.9,0,5.958,0
"EC_021_INC-W3","EC_021","INC-W3",1157,7.46,20.9,1.143,3.64,"RATE_CV_050; RATE_OUTLIER_000",0.091,0.029,9.11,9.11,15.87,0.57,0.57,50.41,2.19,7.08,9,37.1,50,96.1,3.9,0,5.958,0
"EC_021_INC-W4","EC_021","INC-W4",1163,7.58,20.7,0.12,0.381,"RATE_CV_050",0.127,0.04,9.03,9.03,15.92,0.57,0.57,50.39,2.78,8.93,9,37.1,50,96.1,3.9,0,5.958,0
"EC_021_INC-W5","EC_021","INC-W5",1143,7.4,20.1,0.662,2.103,"RATE_CV_050; RATE_OUTLIER_000",0.123,0.039,9.06,9.06,15.9,0.57,0.57,50.39,2.21,7.72,9,37.1,50,96.1,3.9,0,5.958,0
"EC_022_INC-D1","EC_022","INC-D1",80.29,6.59,21.5,0.496,1.606,"N/A",0.395,0.122,4.33,2.56,15.67,0.28,0.16,50.64,14.75,43.08,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0.12
"EC_022_INC-D2","EC_022","INC-D2",87.94,6.54,21.7,0.231,0.754,"N/A",0.474,0.145,4.31,2.62,15.56,0.28,0.17,50.69,17.1,62.09,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0.11
"EC_022_INC-D3","EC_022","INC-D3",87.03,6.53,21.6,0.187,0.61,"N/A",0.441,0.135,4.31,2.45,15.57,0.28,0.16,50.68,9.21,36.06,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0.12
"EC_022_INC-D4","EC_022","INC-D4",88.78,6.55,21.1,0.301,0.97,"N/A",0.461,0.143,4.35,2.39,15.73,0.28,0.15,50.62,30.39,118.17,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0.13
"EC_022_INC-D5","EC_022","INC-D5",46.98,6.61,21.4,0.259,0.842,"INC_003",0.428,0.132,4.32,2.36,15.62,0.28,0.15,50.66,9.68,32.86,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0.13
"EC_022_INC-W1","EC_022","INC-W1",83.39,7.86,20.7,8.908,28.904,"RATE_CV_050",0.863,0.266,8.32,8.31,15.63,0.53,0.53,50.65,10.42,42.85,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0
"EC_022_INC-W2","EC_022","INC-W2",70.91,7.64,21.1,4.843,15.648,"RATE_CV_050",0.352,0.109,8.23,8.23,15.7,0.52,0.52,50.63,9.53,34.31,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0
"EC_022_INC-W3","EC_022","INC-W3",71.7,6.81,21,99.795,323.392,"RATE_005; RATE_CV_050; RATE_OUTLIER_000",0.807,0.249,8.22,8.22,15.66,0.53,0.53,50.65,8.25,30.93,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0
"EC_022_INC-W4","EC_022","INC-W4",73.32,6.76,20.8,5.137,16.633,"RATE_CV_050",0.81,0.25,8.22,8.22,15.67,0.52,0.52,50.64,19.32,67.14,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0
"EC_022_INC-W5","EC_022","INC-W5",72.09,6.62,21.3,11.869,38.43,"RATE_CV_050",0.788,0.243,8.25,8.25,15.67,0.53,0.53,50.64,30.31,131.68,12.7,54,24.5,91.2,2.7,6.1,31.5736666666667,0
"EC_024_INC-D1","EC_024","INC-D1",238.4,6.42,21.5,0,0,"N/A",0.036,0.013,2.87,1.42,17.2,0.17,0.08,49.86,9.8,37.74,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0.09
"EC_024_INC-D2","EC_024","INC-D2",254.3,6.72,21.3,0,0,"N/A",0.11,0.038,2.86,1.32,17.14,0.17,0.08,49.89,14.12,52.22,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0.09
"EC_024_INC-D3","EC_024","INC-D3",248.7,5.99,21.7,0,0,"N/A",0.117,0.04,2.86,1.26,17.18,0.17,0.07,49.88,18.85,74.18,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0.1
"EC_024_INC-D4","EC_024","INC-D4",254.3,6.08,21.7,0,0,"N/A",0.093,0.032,2.85,1.49,17.12,0.17,0.09,49.9,15.33,50.55,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0.08
"EC_024_INC-D5","EC_024","INC-D5",262.9,6.24,21.6,0,0,"N/A",0.00292442882249561,0.001,2.85,1.54,17.07,0.17,0.09,49.92,16.78,64.72,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0.08
"EC_024_INC-W1","EC_024","INC-W1",226.9,6.3,21.7,4.103,11.929,"RATE_CV_050; RATE_OUTLIER_000",0.097,0.034,5.87,5.87,17.15,0.34,0.34,49.89,14.36,50.05,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0
"EC_024_INC-W2","EC_024","INC-W2",223.2,6.43,21.5,1.146,3.354,"RATE_CV_050",0.149,0.051,5.87,5.87,17.06,0.34,0.34,49.93,11.82,42.5,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0
"EC_024_INC-W3","EC_024","INC-W3",223.4,6.58,21.4,1.209,3.507,"RATE_CV_050",0.164,0.056,5.84,5.84,17.19,0.34,0.34,49.87,7.65,27.75,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0
"EC_024_INC-W4","EC_024","INC-W4",225.5,6.82,21,1.564,4.52,"RATE_CV_050",0.138,0.048,5.85,5.84,17.25,0.34,0.34,49.85,26.77,97.92,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0
"EC_024_INC-W5","EC_024","INC-W5",218.9,6.08,21.6,2.913,8.479,"RATE_CV_050",0.179,0.062,5.79,5.79,17.13,0.34,0.34,49.89,12.66,44.38,4.2,8.7,83.6,96.5,3.4,0.1,4.797,0
"EC_027_INC-D3","EC_027","INC-D3",1123,7.16,21.6,3.299,17.157,"RATE_CV_050",0.005211,0.001,10,7.14,10,1,0.71,52.11,3.99,34.67,46.5,25,1.1,72.6,15.7,11.7,34.066,0.29
"EC_027_INC-D4","EC_027","INC-D4",1117,7.12,22,109.808,571.748,"RATE_005; RATE_CV_050",0.686,0.132,10,7.13,10,1,0.71,52.12,3.3,11.96,46.5,25,1.1,72.6,15.7,11.7,34.066,0.29
"EC_027_INC-D5","EC_027","INC-D5",1037,7.03,21.8,7.881,40.945,"RATE_CV_050",0.401,0.077,10.02,7,10.02,1,0.7,52.11,2.09,4.6,46.5,25,1.1,72.6,15.7,11.7,34.066,0.3
"EC_027_INC-W1","EC_027","INC-W1",1097,6.44,21.4,182.577,950.641,"RATE_005",0.214,0.041,12.74,12.74,10,1.27,1.27,52.12,3.59,15.41,46.5,25,1.1,72.6,15.7,11.7,34.066,0
"EC_027_INC-W2","EC_027","INC-W2",1078,7.17,21.6,265.758,1385.131,"RATE_005",16.887,3.24,12.58,12.58,9.99,1.26,1.26,52.12,3.09,21.6,46.5,25,1.1,72.6,15.7,11.7,34.066,0
"EC_027_INC-W3","EC_027","INC-W3",1002,6.85,21.5,244.014,1271.801,"RATE_005",0.495,0.095,13.02,13.02,9.98,1.3,1.3,52.12,2.25,16.16,46.5,25,1.1,72.6,15.7,11.7,34.066,0
"EC_027_INC-W4","EC_027","INC-W4",1070,6.92,21.5,261.147,1356.767,"RATE_005",0.332,0.064,12.97,12.97,10.02,1.29,1.29,52.11,1.97,9.31,46.5,25,1.1,72.6,15.7,11.7,34.066,0
"EC_032_INC-D1","EC_032","INC-D1",607.9,7.09,19.7,221.433,1144.544,"RATE_005",0.843,0.163,10.56,6.92,10.12,1.04,0.68,52.36,6.19,73.62,6.6,1.1,1.1,8.8,20.6,70.6,95.555,0.36
"EC_032_INC-D2","EC_032","INC-D2",616.1,7.35,20.2,260.814,1408.074,"RATE_005",18.262,3.383,10.15,6.19,9.72,1.04,0.64,52.53,1.17,3.96,6.6,1.1,1.1,8.8,20.6,70.6,95.555,0.4
"EC_032_INC-D3","EC_032","INC-D3",669.4,7.45,19.6,185.851,994.426,"RATE_005",15.327,2.864,10.23,6.16,9.81,1.04,0.63,52.49,3.41,22.81,6.6,1.1,1.1,8.8,20.6,70.6,95.555,0.41
"EC_032_INC-D4","EC_032","INC-D4",642.1,7.51,19.5,238.136,1270.059,"RATE_005",19.011,3.565,10.26,7.36,9.83,1.04,0.75,52.48,5.69,35.41,6.6,1.1,1.1,8.8,20.6,70.6,95.555,0.29
"EC_032_INC-D5","EC_032","INC-D5",677.4,7.76,19.9,132.501,676.208,"RATE_005; INC_004",16.421,3.218,10.69,5.44,10.24,1.04,0.53,52.31,4.53,28.95,6.6,1.1,1.1,8.8,20.6,70.6,95.555,0.51
