"","Sample_ID","Rep","median_SpC","median_pH","median_Temp","median_Respiration_Rate_mg_DO_per_L_per_H","median_Respiration_Rate_mg_DO_per_kg_per_H","median_Fe_mg_per_kg","median_Fe_mg_per_L","median_Initial_Gravimetric_Moisture","median_Final_Gravimetric_Moisture","median_ATP_nanomol_per_L","median_ATP_picomol_per_g","median_NPOC_mg_C_per_L","median_TN_mg_N_per_L","median_NPOC_mg_C_per_kg","median_TN_mg_N_per_kg","median_toc_percent","median_tn_percent","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa","median_Lost_Gravimetric_Water"
"26","EC_033_INC","Wet",1140,7.67,20.8,0,0,0.00319041614123581,0.001,0.58,0.58,0.75,2.12,5.5,4.57,17.47,14.36,0.13,0.02,0.8,6.2,92.1,99.1,0.9,0,5.349,0
"27","EC_034_INC","Dry",489,6.5,20.9,1.323,4.556,0.703,0.204,0.35,0.21,61.92,250.44,4.41,2.37,15.32,8.19,1.11,0.25,80.7,4,0.6,85.3,3.4,11.3,14.807,0.14
"28","EC_034_INC","Wet",415.5,6.45,21.7,243.593,843.893,1.556,0.453,0.55,0.55,43.51,206.66,3.43,0.92,11.85,3.15,1.19,0.22,80.7,4,0.6,85.3,3.4,11.3,14.807,0
"29","EC_035_INC","Dry",274.9,7.09,19.9,265.215,1881.946,2.264,0.319,1.63,1.28,17.01,60.06,4.77,1.29,34.18,9.15,1.31,0.2,28.4,62.3,3.5,94.2,2.5,3.3,17.1256666666667,0.35
"30","EC_035_INC","Wet",283.5,7.11,20,270.133,1916.844,2.736,0.386,2.02,2.02,24.36,77.09,4.63,1.1,32.8,7.79,1.1,0.23,28.4,62.3,3.5,94.2,2.5,3.3,17.1256666666667,0
"31","EC_037_INC","Dry",363.8,6.57,21.1,1.517,4.365,0.139,0.048,0.16,0.06,6.4,20.28,3.88,3.38,11.27,9.82,0.33,0.17,3.7,4.7,89.3,97.7,2.3,0,5.7255,0.1
"32","EC_037_INC","Wet",353,6.63,20.7,1.943,5.524,0.2,0.071,0.44,0.44,5.77,16.68,4.34,1.02,12.23,2.93,0.36,0.27,3.7,4.7,89.3,97.7,2.3,0,5.7255,0
"33","EC_038_INC","Dry",162.1,6.53,20.9,0.335,1.03,0.502,0.164,0.23,0.12,8.34,25.03,5.83,1.34,18.27,4.12,0.3,0.27,5.2,12.1,80.5,97.8,2.2,0,6.034,0.11
"34","EC_038_INC","Wet",146.1,6.75,20.9,12.213,38.271,0.486,0.155,0.54,0.54,12.99,33.48,4.38,0.63,13.73,1.96,0.33,0.26,5.2,12.1,80.5,97.8,2.2,0,6.034,0
"35","EC_039_INC","Dry",525.6,7.69,20.4,0,0,0.112,0.034,0.3,0.17,5.53,14.81,3.92,1.44,12.84,4.49,1.26,0.27,3.7,25.3,67.9,96.9,3.1,0,5.336,0.13
"36","EC_039_INC","Wet",506.2,7.45,20.4,0.658,2.131,0.111,0.034,0.43,0.43,5.95,18.9,3.75,0.48,12.23,1.59,1.54,0.18,3.7,25.3,67.9,96.9,3.1,0,5.336,0
