"","Sample_ID","Rep","diff_median_SpC","diff_median_pH","diff_median_Temp","diff_median_Respiration_Rate_mg_DO_per_L_per_H","diff_median_Respiration_Rate_mg_DO_per_kg_per_H","diff_median_Fe_mg_per_kg","diff_median_Fe_mg_per_L","diff_median_Initial_Gravimetric_Moisture","diff_median_Final_Gravimetric_Moisture","diff_median_Lost_Gravimetric_Water","diff_median_ATP_nanomol_per_L","diff_median_ATP_picomol_per_g","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa"
"29","EC_069_INC","Dry",-368,-0.27,0.300000000000001,212.565,672.84,0.693,0.218,0.28,0.4,-0.12,-51.61,-173.94,5.9,5.5,83.3,94.7,3.3,2,6.542
"30","EC_070_INC","Dry",19.9,-0.3,0.199999999999999,2.095,7.293,-0.035,-0.01,0.24,0.38,-0.14,-8.4,-29.3,37.2,46.1,4,87.3,3.4,9.3,3.45175
"31","EC_071_INC","Dry",-97.7,-0.0800000000000001,-0.300000000000001,278.209,1404.084,1.2,0.238,0.19,0.52,-0.33,1.16,26.32,27.2,21.6,2.5,51.3,1.7,47,46.784
"32","EC_072_INC","Dry",28.25,-0.135,-0.100000000000001,12.6695,66.8499999999999,0.5405,0.1065,0.3,0.72,-0.42,-3.815,-28.77,11.6,4.7,1.2,17.5,44.5,38,99.0613333333333
"33","EC_073_INC","Dry",7.2,0.2,0,2.076,10.07,0.249,0.051,0.27,0.47,-0.2,0.0899999999999999,0.59,5.7,2.6,87.1,95.4,0.4,4.2,4.4186
"34","EC_074_INC","Dry",-15.6,0.16,-0.199999999999999,0.073,0.213,-0.032,-0.011,0.2,0.32,-0.12,-0.44,-5.57,2.2,20.2,75.9,98.3,1.7,0,6.0076
"35","EC_075_INC","Dry",8.89999999999998,-0.37,-0.0999999999999979,194.837,676.414,0.684,0.194,0.2,0.44,-0.24,-7.47,-48.42,59,26.1,1.4,86.5,3.8,9.7,10.907
"36","EC_076_INC","Dry",-7.29999999999995,-0.11,0.300000000000001,133.14,433.919,0.212,0.065,0.32,0.56,-0.24,-5.86,10.29,27.9,28.4,13.6,69.9,4.7,25.4,12.886
"37","EC_078_INC","Dry",-214.65,-0.19,-0.0999999999999979,243.072,1047.592,0.982,0.227,0.25,0.47,-0.22,-11.81,-93.92,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333
"38","EC_080_INC","Dry",19,0.16,-0.300000000000001,0.946000000000026,37.203,0.343,0.026,0.23,0.85,-0.62,-0.899999999999999,-49.4,43.9,33,2,78.9,13.5,7.6,80.5323333333333
"39","EC_081_INC","Dry",7.09,0.12,0.100000000000001,183.118,630.443,0.331,0.093,0.2,0.34,-0.14,10.05,39.01,27.4,61.2,1.7,90.3,1.1,8.6,5.2445
"40","EC_082_INC","Dry",11,-0.0200000000000005,-0.100000000000001,180.507,606.881,0.039,0.014,0.25,0.39,-0.14,-9.21,-34.52,51.7,34.9,7,93.6,2,4.4,7.0035
"41","EC_084_INC","Dry",26.2,0.14,0.100000000000001,153.228,555.88,-0.00399999999999995,0.001,0.14,0.37,-0.23,-4.75,-14.17,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333
"42","EC_085_INC","Dry",6.30000000000001,0.26,-0.199999999999999,171.892,588.776,2.383,0.699,0.2,0.41,-0.21,-18.42,-63.06,34.6,39,3.4,77,3.1,19.9,6.01133333333333
"43","EC_088_INC","Dry",19.75,0.26,-0.0999999999999979,225.211,845.777,1.269,0.339,0.22,0.47,-0.25,-28.47,-134.55,28,21.5,18.5,68,3.3,28.7,27.682
"44","EC_089_INC","Dry",15.04,0.00999999999999979,-0.100000000000001,1.478,4.923,0.154,0.046,0.2,0.3,-0.1,9.59,27.06,23.6,20.9,46.4,90.9,4.1,5,8.932
"45","EC_090_INC","Dry",-7.29,0.42,0,140.93,418.635,1.636,0.561,0.17,0.28,-0.11,-13.53,-36.91,21,23.9,31.7,76.6,4.9,18.5,7.345
"46","EC_091_INC","Dry",-7.19999999999999,0.56,0.100000000000001,117.024,390.412,0.266,0.084,0.19,0.34,-0.15,-4.77,-17.52,72.4,15,1.2,88.6,3.7,7.7,5.4435
"47","EC_092_INC","Dry",25.9,-0.78,0,1.908,5.713,0.168,0.056,0.18,0.3,-0.12,7.2,34.89,14,19.1,56.4,89.5,3,7.5,2.85366666666667
"48","EC_093_INC","Dry",13.76,-0.0800000000000001,-0.300000000000001,0.52,1.617,0.004,0.002,0.18,0.29,-0.11,0.61,1.15,4.2,11.2,82.3,97.7,1.8,0.5,4.04066666666667
"49","EC_094_INC","Dry",5.80000000000001,-0.149999999999999,-0.199999999999999,123.719,405.774,0.18,0.048,0.19,0.31,-0.12,-15.2,-64.34,23.6,18.9,48.6,91.1,4.1,4.8,5.065
"50","EC_095_INC","Dry",-26.8,0.48,0,280.291,1167.556,1.546,0.371,0.24,0.59,-0.35,-31.03,-180.67,45.2,16.1,4.2,65.5,1.8,32.7,12.832
