"","Sample_Name","Sample_ID","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g"
"27","EC_011_INC-W2","EC_011",-9999,-9999,0.389433449928414,1.55629033982203,"21.6","29","25.7","76.3","0","23.7",6.9868,330.2,21.1,6.93,27.11,23.64,12.95
"28","EC_011_INC-W3","EC_011",-9999,-9999,0.264573196838624,1.05731212994536,"21.6","29","25.7","76.3","0","23.7",6.9868,310.8,21.2,6.87,27.08,24.12,12.95
"29","EC_011_INC-W4","EC_011",-9999,-9999,0.25782340116279,1.02558621498668,"21.6","29","25.7","76.3","0","23.7",6.9868,261.2,21,6.79,27.14,24.39,13.01
"30","EC_011_INC-W5","EC_011",-9999,-9999,0.422906264356024,1.68745142582521,"21.6","29","25.7","76.3","0","23.7",6.9868,341.7,21.7,6.66,27.15,24.59,12.97
"31","EC_012_INC-D1","EC_012",-115.406,-524.368,0.743114441185304,3.37650158125825,"27.1","24.4","37.3","88.8","0","11.2",10.584,289.6,21.7,6.71,8.97,5.04,11.3
"32","EC_012_INC-D2","EC_012",-140.551,-643.172,0.557728723641721,2.55223026619078,"27.1","24.4","37.3","88.8","0","11.2",10.584,267.9,21.7,6.88,8.91,4.63,11.22
"33","EC_012_INC-D3","EC_012",-122,-553.839,0.656187975976068,2.97889614840984,"27.1","24.4","37.3","88.8","0","11.2",10.584,280.2,21.6,6.74,8.97,4.83,11.31
"34","EC_012_INC-D4","EC_012",-156.149,-710.119,0.407811464602453,1.85462106630189,"27.1","24.4","37.3","88.8","0","11.2",10.584,283.6,21,6.79,8.96,4.46,11.29
"35","EC_012_INC-D5","EC_012",-0.615,-5.826,0.195105023747408,1.84824212901972,"27.1","24.4","37.3","88.8","0","11.2",10.584,261.3,21.1,6.88,4.31,0.58,5.42
"36","EC_012_INC-W1","EC_012",-9999,-9999,0.578198173913625,2.65299437367481,"27.1","24.4","37.3","88.8","0","11.2",10.584,369.7,21.3,6.61,29.06,24.62,11.19
"37","EC_012_INC-W2","EC_012",-9999,-9999,0.296347585456102,1.36831568594048,"27.1","24.4","37.3","88.8","0","11.2",10.584,356.1,21.1,6.69,28.88,24.95,11.12
