"","Sample_Name","Respiration_Rate_mg_DO_per_L_per_H","Respiration_Rate_mg_DO_per_kg_per_H","Fe_mg_per_L","Fe_mg_per_kg","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","average_ssa","SpC","Temp","pH","Initial_Water_mass_g","Final_Water_mass_g","Dry_Sediment_Mass_g","Initial_Gravimetric_Water","Final_Gravimetric_Water","Lost_Gravimetric_Water"
"76","EC_076_INC-D",-3.8886,-12.9932,0.0740020760038406,0.247399871797846,27.9,28.4,13.6,69.9,4.7,25.4,12.886,721.4,20.8,7.48,4.486,0.82,15.54,0.288674175237171,0.0527813951775189,0.235892780059652
"77","EC_076_INC-W",-127.5732,-426.6174,0.134559295327175,0.450086783771995,27.9,28.4,13.6,69.9,4.7,25.4,12.886,708.76,21.04,7.426,9.404,9.404,15.53,0.6055747475271,0.6055747475271,0
"78","EC_078_INC-D",-48.4862,-209.74,0.160963920432627,0.694776086692873,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333,693.76,21.12,6.812,7.994,4.9,12.086,0.661425576254568,0.405664272512754,0.255761303741815
"79","EC_078_INC-W",-233.5828,-1008.7884,0.404740288176118,1.7493902262199,39.1,34.1,5.2,78.4,1.3,20.3,23.7903333333333,504.13,21.12,6.678,11.122,11.122,12.078,0.92084117409905,0.92084117409905,0
"80","EC_080_INC-D",-270.4174,-3318.897,0.227484605041674,2.79259548346856,43.9,33,2,78.9,13.5,7.6,80.5323333333333,238.94,20.92,6.488,15.75,13.056,4.3,3.66278959834718,3.036205702281,0.626583896066173
"81","EC_080_INC-W",-276.2258,-3401.2648,0.249391245928098,3.0709567335727,43.9,33,2,78.9,13.5,7.6,80.5323333333333,251.24,20.76,6.62,16.69,16.69,4.286,3.89407555061761,3.89407555061761,0
"82","EC_081_INC-D",-2.2424,-7.6604,0.11147838100974,0.38028162603682,27.4,61.2,1.7,90.3,1.1,8.6,5.2445,75.676,19.7,6.41,5.128,2.52,14.912,0.343883890873915,0.169005637103569,0.174878253770346
"83","EC_081_INC-W",-179.3012,-619.4546,0.195435789524668,0.674958093708559,27.4,61.2,1.7,90.3,1.1,8.6,5.2445,82.362,19.7,6.556,8.06,8.06,14.898,0.541013414627816,0.541012963288105,4.51339711671217e-07
"84","EC_082_INC-D",-0.9362,-3.1476,0.106856900634776,0.358354739700216,51.7,34.9,7,93.6,2,4.4,7.0035,117,19.7,6.7,4.82,3.022,15.16,0.317941912642221,0.199327443078474,0.118614469563747
"85","EC_082_INC-W",-184.2014,-625.188,0.120919112053317,0.410002033961804,51.7,34.9,7,93.6,2,4.4,7.0035,127.38,19.68,6.788,7.778,7.778,15.186,0.512182488874113,0.512182488874113,0
"86","EC_084_INC-D",-32.7694,-116.322,0.12256809010008,0.435187858880306,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333,170.68,21.22,6.75,5.794,3.32,14.186,0.408430579766247,0.234028133747941,0.174402446018306
"87","EC_084_INC-W",-163.0404,-578.5896,0.161557097249328,0.573607950352961,1.9,1.2,93.6,96.7,1.4,1.9,4.29733333333333,201.44,21.22,6.936,7.762,8.61,14.204,0.546516597694184,0.606326749370364,-0.0598101516761794
