"","Sample_ID","Rep","median_SpC","median_pH","median_Temp","median_Respiration_Rate_mg_DO_per_L_per_H","median_Respiration_Rate_mg_DO_per_kg_per_H","median_Fe_mg_per_kg","median_Fe_mg_per_L","median_Initial_Water_mass_g","median_Final_Water_mass_g","median_Dry_Sediment_Mass_g","median_Initial_Gravimetric_Moisture","median_Final_Gravimetric_Moisture","median_Incubation_Water_Mass_g","median_ATP_nanomol_per_L","median_ATP_picomol_per_g","median_Percent_Fine_Sand","median_Percent_Med_Sand","median_Percent_Coarse_Sand","median_Percent_Tot_Sand","median_Percent_Clay","median_Percent_Silt","median_mean_ssa","median_Lost_Gravimetric_Water"
"24","EC_027_INC","Wet",1074,6.885,21.5,252.5805,1314.284,0.4135,0.0795,12.855,12.855,9.995,1.28,1.28,52.12,2.67,15.785,46.5,25,1.1,72.6,15.7,11.7,34.066,0
"25","EC_032_INC","Dry",642.1,7.45,19.7,221.433,1144.544,16.421,3.218,10.26,6.19,9.83,1.04,0.64,52.48,4.53,28.95,6.6,1.1,1.1,8.8,20.6,70.6,95.555,0.4
"26","EC_032_INC","Wet",601.5,7,20.2,266.952,1415.434,1.723,0.32,14.38,14.37,9.97,1.45,1.45,52.43,3.01,18.59,6.6,1.1,1.1,8.8,20.6,70.6,95.555,0
"27","EC_033_INC","Dry",1176,7.62,20.9,0,0,0.1,0.031,4.09,2.24,15.94,0.26,0.14,50.57,1.62,4.57,0.8,6.2,92.1,99.1,0.9,0,5.349,0.12
"28","EC_033_INC","Wet",1140,7.67,20.8,0,0,0.003,0.001,9.23,9.23,15.88,0.58,0.58,50.6,0.75,2.12,0.8,6.2,92.1,99.1,0.9,0,5.349,0
"29","EC_034_INC","Dry",489,6.5,20.9,1.323,4.556,0.703,0.204,5.23,3.15,14.8,0.35,0.21,51,61.92,250.44,80.7,4,0.6,85.3,3.4,11.3,14.807,0.14
"30","EC_034_INC","Wet",415.5,6.45,21.7,243.593,843.893,1.556,0.453,8.22,8.22,14.79,0.55,0.55,51.01,43.51,206.66,80.7,4,0.6,85.3,3.4,11.3,14.807,0
"31","EC_035_INC","Dry",274.9,7.09,19.9,265.215,1881.946,2.264,0.319,12.44,9.72,7.62,1.63,1.28,54,17.01,60.06,28.4,62.3,3.5,94.2,2.5,3.3,17.1256666666667,0.35
"32","EC_035_INC","Wet",283.5,7.11,20,270.133,1916.844,2.736,0.386,15.42,15.42,7.62,2.02,2.02,54,24.36,77.09,28.4,62.3,3.5,94.2,2.5,3.3,17.1256666666667,0
"33","EC_037_INC","Dry",363.8,6.57,21.1,1.517,4.365,0.139,0.048,2.71,1.01,17.31,0.16,0.06,49.91,6.4,20.28,3.7,4.7,89.3,97.7,2.3,0,5.7255,0.1
"34","EC_037_INC","Wet",353,6.63,20.7,1.943,5.524,0.2,0.071,7.66,7.66,17.46,0.44,0.44,49.85,5.77,16.68,3.7,4.7,89.3,97.7,2.3,0,5.7255,0
"35","EC_038_INC","Dry",162.1,6.53,20.9,0.335,1.03,0.502,0.164,3.8,1.98,16.3,0.23,0.12,50.33,8.34,25.03,5.2,12.1,80.5,97.8,2.2,0,6.034,0.11
"36","EC_038_INC","Wet",146.1,6.75,20.9,12.213,38.271,0.486,0.155,8.77,8.77,16.18,0.54,0.54,50.38,12.99,33.48,5.2,12.1,80.5,97.8,2.2,0,6.034,0
"37","EC_039_INC","Dry",525.6,7.69,20.4,0,0,0.112,0.034,4.59,2.6,15.46,0.3,0.17,50.62,5.53,14.81,3.7,25.3,67.9,96.9,3.1,0,5.336,0.13
"38","EC_039_INC","Wet",506.2,7.45,20.4,0.658,2.131,0.111,0.034,6.6,6.6,15.52,0.43,0.43,50.6,5.95,18.9,3.7,25.3,67.9,96.9,3.1,0,5.336,0
"39","EC_040_INC","Dry",534.3,7.5,19.9,0.279,1.014,5.593,1.514,6.41,2.44,13.94,0.46,0.18,50.65,2.05,14.7,35.7,1.8,3.8,41.3,17.7,41,68.869,0.28
"40","EC_040_INC","Wet",494.8,7.3,20,233.337,860.091,12.516,3.426,9.14,9.13,13.78,0.66,0.66,50.72,1.41,13.09,35.7,1.8,3.8,41.3,17.7,41,68.869,0
"41","EC_041_INC","Dry",227.3,7.39,20.5,4.031,15.072,0.428,0.115,6.27,3.42,13.74,0.46,0.25,51.29,8.67,33.69,7.2,31.9,55,94.1,4.1,1.8,11.21,0.21
"42","EC_041_INC","Wet",252.05,7.23,20.2,137.714,513.1995,0.4725,0.127,9.77,9.77,13.775,0.71,0.71,51.27,33.485,111.49,7.2,31.9,55,94.1,4.1,1.8,11.21,0
"43","EC_042_INC","Dry",117.6,7.4,20.2,0.393,1.382,0.184,0.052,5.43,3.63,14.54,0.37,0.25,51.19,0.64,2.01,6.4,11.3,77,94.7,1.3,4,7.17733333333333,0.12
"44","EC_042_INC","Wet",114.2,7.24,20.3,3.199,11.2,0.003,0.001,8.44,8.44,14.59,0.58,0.58,51.17,0.79,2.18,6.4,11.3,77,94.7,1.3,4,7.17733333333333,0
"45","EC_044_INC","Dry",125.4,5.44,20.7,0,0,0.148,0.049,3.57,1.22,16.45,0.22,0.07,50.26,13.92,40.69,12,23.3,59.7,95,2.6,2.4,9.6572,0.15
"46","EC_044_INC","Wet",122.4,5.98,20.7,3.858,11.797,0.225,0.073,7.07,7.07,16.41,0.43,0.43,50.27,19.41,49.89,12,23.3,59.7,95,2.6,2.4,9.6572,0
"47","EC_051_INC","Dry",41.98,7.23,21.2,0.241,0.832,0.498,0.144,5.3,3.44,14.74,0.36,0.23,50.96,40.85,137.48,6,6.6,72,84.6,4.3,11.1,64.1443333333333,0.13
"48","EC_051_INC","Wet",44.63,7.59,20.9,1.433,4.954,0.641,0.186,9.3,9.3,14.75,0.63,0.63,50.95,32.84,124.67,6,6.6,72,84.6,4.3,11.1,64.1443333333333,0
"49","EC_052_INC","Dry",45.57,6.5,20.8,3.74,15.812,0.931,0.219,7.7,5.2,12.34,0.62,0.42,52.17,56.07,288.32,11.7,12.2,49.7,73.6,3.3,23.1,78.826,0.2
"50","EC_052_INC","Wet",54.145,6.61,21,5.738,24.3035,1.374,0.324,10.675,10.675,12.325,0.87,0.87,52.185,46.17,248.795,11.7,12.2,49.7,73.6,3.3,23.1,78.826,0
"51","EC_053_INC","Dry",34.495,5.65,20.4,0.412,1.542,0.2645,0.071,6.175,4.275,13.82,0.45,0.305,51.275,40.18,175.92,5.3,5.1,75.2,85.6,4.6,9.8,66.2013333333333,0.145
"52","EC_053_INC","Wet",37.74,6.07,20.6,1.236,4.493,0.312,0.084,9.18,9.17,13.82,0.66,0.66,51.31,38.04,158.16,5.3,5.1,75.2,85.6,4.6,9.8,66.2013333333333,0
"53","EC_056_INC","Dry",18.72,5.94,20.6,0,0,0.05,0.017,2.9,0.58,17.08,0.17,0.03,50.05,0.89,2.56,3,25.3,70.2,98.5,1.5,0,2.183,0.14
"54","EC_056_INC","Wet",15.64,5.37,21,0,0,0.068,0.023,7.38,7.38,17.02,0.43,0.43,50.08,0.99,2.97,3,25.3,70.2,98.5,1.5,0,2.183,0
"55","EC_057_INC","Dry",15.33,8.23,20.9,0,0,0.124,0.042,2.91,0.38,17.11,0.17,0.02,49.99,1.53,5.06,5,51.9,40.7,97.6,2.4,0,NA,0.15
"56","EC_057_INC","Wet",14.97,7.12,21,0.156,0.456,0.117,0.04,7.93,7.93,17.13,0.46,0.46,49.98,1.26,3.69,5,51.9,40.7,97.6,2.4,0,NA,0
"57","EC_063_INC","Dry",120.6,6.78,20.7,0.376,1.131,0.676,0.223,3.39,0.84,16.65,0.2,0.05,50.21,28.4,95.92,6,44.3,47,97.3,1.9,0.8,2.17475,0.15
"58","EC_063_INC","Wet",111.6,6.44,20.7,5.037,15.193,1.055,0.35,7.88,7.88,16.63,0.48,0.48,50.23,21.92,63.06,6,44.3,47,97.3,1.9,0.8,2.17475,0
"59","EC_064_INC","Dry",290.4,7.34,20.9,0.69,4.1,0.162,0.027,11,8.51,9,1.22,0.95,53.48,44.49,137,7.2,15.2,67.7,90.1,2.3,7.6,2.01433333333333,0.27
"60","EC_064_INC","Wet",306.6,7.26,20.9,119.436,709.715,0.213,0.036,13.99,13.99,9,1.55,1.55,53.48,40.84,137.4,7.2,15.2,67.7,90.1,2.3,7.6,2.01433333333333,0
"61","EC_065_INC","Dry",31.76,5.76,19.5,3.078,10.47,0.543,0.16,5.15,3.34,14.86,0.35,0.23,50.63,22.43,71.41,14.2,52.1,26.9,93.2,4.9,1.9,11.5686666666667,0.12
